                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.70265,                0.39662,                0.82666,                 0.8944,                0.90118,                0.91475,                0.64261,                0.97568,                0.45898,                 0.8601,             0.00097386,             0.00097386,             0.00097386
                     66,                0.66967,                 0.3798,                0.81159,                0.89472,                0.89844,                0.93783,                 0.6516,                0.96034,                0.44267,                0.85039,             0.00096286,             0.00096286,             0.00096286
                     67,                0.66794,                0.37731,                0.82203,                0.93467,                0.95312,                0.95212,                0.65225,                0.97287,                0.44138,                0.85413,             0.00095186,             0.00095186,             0.00095186
                     68,                0.67228,                0.37688,                0.81884,                0.91379,                0.91406,                0.93556,                0.64597,                0.99508,                0.46931,                0.85893,             0.00094085,             0.00094085,             0.00094085
                     69,                0.67202,                0.37664,                0.82258,                0.90777,                0.93715,                0.94371,                0.64316,                0.99034,                0.45724,                0.85712,             0.00092985,             0.00092985,             0.00092985
                     70,                0.68159,                0.38956,                0.81702,                0.85661,                0.93042,                0.92585,                0.63306,                 1.0044,                0.46086,                 0.8576,             0.00091885,             0.00091885,             0.00091885
                     71,                0.68792,                0.39076,                0.81859,                0.91423,                0.90461,                0.92784,                0.61735,                 1.0633,                0.48874,                 0.8712,             0.00090785,             0.00090785,             0.00090785
                     72,                0.65538,                0.37582,                0.81747,                0.91337,                0.91406,                0.94459,                0.65522,                0.99971,                0.45258,                0.86309,             0.00089685,             0.00089685,             0.00089685
                     73,                 0.6535,                0.36642,                0.81734,                0.90713,                0.89844,                 0.9265,                0.64348,                0.99999,                0.44544,                 0.8577,             0.00088584,             0.00088584,             0.00088584
                     74,                 0.6587,                 0.3649,                0.81911,                 0.9147,                  0.875,                0.92664,                0.64267,                0.97318,                0.44117,                0.85556,             0.00087484,             0.00087484,             0.00087484
                     75,                0.64315,                0.36475,                0.80497,                0.92071,                0.95312,                0.95221,                0.65467,                0.95901,                0.43489,                0.85253,             0.00086384,             0.00086384,             0.00086384
                     76,                0.69115,                0.37107,                0.81598,                0.91158,                 0.9375,                0.94405,                0.66071,                0.97646,                0.45014,                0.85494,             0.00085284,             0.00085284,             0.00085284
                     77,                0.65257,                0.36003,                0.81725,                0.91015,                0.91406,                0.93327,                0.64714,                 1.0021,                0.45705,                 0.8586,             0.00084184,             0.00084184,             0.00084184
                     78,                0.67293,                0.36727,                0.81739,                0.89413,                0.92188,                0.93863,                0.64787,                0.98453,                 0.4399,                0.85989,             0.00083083,             0.00083083,             0.00083083
                     79,                0.65972,                0.36267,                0.81015,                0.91839,                0.92522,                0.94686,                0.65214,                0.98871,                0.45295,                0.85811,             0.00081983,             0.00081983,             0.00081983
                     80,                0.62634,                0.35616,                0.81867,                0.92518,                0.92981,                0.95043,                0.64521,                0.99477,                0.43574,                0.85664,             0.00080883,             0.00080883,             0.00080883
                     81,                0.64697,                0.35401,                0.81008,                 0.9331,                0.94699,                0.95397,                 0.6498,                 1.0031,                 0.4353,                0.86069,             0.00079783,             0.00079783,             0.00079783
                     82,                0.66353,                0.36242,                0.81455,                0.90784,                0.93932,                0.94975,                0.64481,                  1.019,                0.44392,                0.86331,             0.00078682,             0.00078682,             0.00078682
                     83,                0.67042,                0.36516,                0.80907,                0.90782,                0.92969,                0.93732,                0.65233,                 0.9858,                0.43112,                0.86364,             0.00077582,             0.00077582,             0.00077582
                     84,                0.66962,                0.35711,                0.81248,                0.93864,                0.93639,                0.95362,                0.66141,                 0.9645,                0.42458,                0.85931,             0.00076482,             0.00076482,             0.00076482
